"Area","Menu","Page","URL","Type","Cards","Table Columns","Inputs","View / Detail","Actions","Notes"
"Dasbor BusDev","D. Buku Tamu","D. Buku Tamu","/dashboard-guest-book","Dashboard","TOTAL LEADS 0 Total Keseluruhan; FOLLOW UP AKTIVITAS 102 Task Selesai (0%); JUMLAH MEETING 1 Offline & Online (Periode Ini); CONVERSION RATE 0.00% Lead to Deal (Close Ratio)","#, Tanggal & Waktu, Nama Klien, Meeting & PIC, Kontak, Kota, Produk Diminati, MOQ, Target Market, Kategori, Status, Aksi","Search","Modal Detail via AJAX (ajaxDetail('4289','modal-lg');)","Pending, Lihat Detail",""
"Dasbor Departemen","D. BusDev","D. BusDev","/dashboard-business-development","Dashboard","—","BD NAME, LEADS, FOLLOW UP, CR SAMPLE, CR DEAL, CLS SAMPLE, CLS NEW CLIENT, CLS RO, ACTUAL REVENUE, STATUS | BRAND / BD, LOST VALUE | NO, BRAND & PRODUK, PELANGGAN, PIC BD, EST. VALUE, TGL SAMPLE, STATUS SAMPLE, STATUS NEGO, SALES CODE, ACTUAL VALUE","Search, users_id","—","PERLU OPTIMASI",""
"Dasbor BusDev","D. Client Produksi","D. Client Produksi","/dashboard-client-production","Dashboard","14.4% SAMPLE → DEAL (344/2394) CONVERSION RATE; 72 HARI SAMPLE → SALES AVG. CLOSING TIME; Rp 28,349,206 RATA-RATA PER SALES AVG. DEAL VALUE; 66 projek","#, Pelanggan, Brand/Produk, Sales Order, BusDev, Mulai, Berakhir, Deadline, Progress, Status Projek, Desain Logo Semua Pending Process Done, HKI Semua Pending Process Done, BPOM Merk Semua Pending Process Done, BPOM NA Semua Pending Process Done, MOU Semua Pending Process Done, Desain Kemasan Semua Pending Process Done, Approval Desain Semua Pending Process Done, Bahan Baku Semua Pending Process Done, Pelunasan Semua Pending Process Done, Mixing Semua Pending Process Done, Bahan Kemas Semua Pending Process Done, Filling Semua Pending Process Done, Label Semua Pending Process Done, Box Semua Pending Process Done, Packing Semua Pending Process Done, Delivery Semua Pending Process Done, #","Filter BusDev:","Modal Detail via AJAX (ajaxDetailSales('436', 'modal-lg'))","SO-202609-000002, Delivery, Pending, Lihat, Lihat Timeline",""
"Dasbor BusDev","D. Client RO","D. Client RO","/dashboard-client-repeat-order","Dashboard","20 projek","#, Pelanggan, Brand/Produk, Sales Order, BusDev, Mulai, Berakhir, Deadline, Progress, Status Projek, Desain Logo Semua Pending Process Done, HKI Semua Pending Process Done, BPOM Merk Semua Pending Process Done, BPOM NA Semua Pending Process Done, MOU Semua Pending Process Done, Desain Kemasan Semua Pending Process Done, Approval Desain Semua Pending Process Done, Bahan Baku Semua Pending Process Done, Pelunasan Semua Pending Process Done, Mixing Semua Pending Process Done, Bahan Kemas Semua Pending Process Done, Filling Semua Pending Process Done, Label Semua Pending Process Done, Box Semua Pending Process Done, Packing Semua Pending Process Done, Delivery Semua Pending Process Done, #","Search, users_id","Modal Detail via AJAX (ajaxDetailSales('438', 'modal-lg'))","SO-202609-000004, Box, Pending, Done, Lihat, Lihat Timeline",""
"Dasbor BusDev","D. Client Sample","D. Client Sample","/dashboard-client-sample","Dashboard","322 Sedang di R&D Sample Dalam Proses; Rp 130,000,000 Pipeline Aktif Rencana Omset; 474 App. Rate: 19.80% Sample Approved; 0.04% Sample → Deal Deal Rate; Rp 0 Dari Deal Pilot Total Omset; Total Tampil: 1915 Proyek","No, Pelanggan / NPF, Info Leads, Catatan Progress, Rencana Deal, Pelacakan Sampel (Status & Revisi), Pelacakan HKI, Suggest, Negosiasi Deal, Status Akhir, Total Omset, MOQ, Rencana Omset, Rev 1, Rev 2, Rev 3, Extra, Progress HKI, Revisi Logo, Kemasan, Desain, Nilai","Filter BusDev:","—","NOT STARTED, APPROVED",""
"Dasbor Departemen","D. Digital Marketing","D. Digital Marketing","/dashboard-digital-marketing","Dashboard","Rp 14.500.000 Total Ads Spend (Bulan Ini); 850.000 Total Impressions; 3.5 % Rata-rata CTR; 320 Total Leads Diperoleh","Campaign, Platform, Leads, Spend","Search","—","—",""
"Dasbor Eksekutif","D. Eksekutif","D. Eksekutif","/dashboard-executive","Dashboard","Rp177.425.000 Omzet Penjualan (Bulan Ini) Detail Penjualan; Rp61.070.160 Total Pembelian (Bulan Ini) Detail Pembelian; 1 Klien Aktif (30 Hari Terakhir) Laporan BusDev; 0 Jadwal Produksi Selesai (Bulan Ini) Detail Produksi; Peringatan Stok Menipis 394 Jenis Barang; Tugas Karyawan Pending 1 Tugas","—","Search","—","—",""
"Dasbor Departemen","D. Gudang","D. Gudang","/dashboard-warehouse","Dashboard","6,116 Total Jenis Barang; 3.561.786 Total Kuantitas Stok; 394 Barang Low Stock; 319 Mutasi Bulan Ini","Kode, Nama Barang, Stok Saat Ini, Min Stok | Tanggal, No Mutasi, Tipe, Barang, Kuantitas","Search","—","—",""
"Dasbor Departemen","D. HR","D. HR","/dashboard-human-resources","Dashboard","—","—","—","—","—",""
"Dasbor","D. Jadwal Produksi","D. Jadwal Produksi","/dashboard-production-schedule","Dashboard","—","Sun Mon Tue Wed Thu Fri Sat, Sun, Mon, Tue, Wed, Thu, Fri, Sat | Sun, Mon, Tue, Wed, Thu, Fri, Sat","Search","—","Previous month, Next month, month, week, day, 30, 31, 1, [JS The Perfection of My Aura] DEAL - DAY CREAM (I CARE B) (Mixing), [JS The Perfection of My Aura] DEAL - FACE SERUM (I CARE B - ACNE) (Mixing), [JS The Perfection of My Aura] DEAL - FACE TONER - REVISI WARNA (SIRIN) (Mixing), [JS The Perfection of My Aura] DEAL - FACE WASH (FORMULA AUREA) (Mixing), 2, 3, [CONSCENTRA] Extrait De Parfum Etheris (Mixing), [CONSCENTRA] Extrait De Parfum Nyara (Mixing), 4, [CONSCENTRA] Extrait De Parfum Noctivus (Mixing), 5, 6, 7, [SIGVIOLET] DEAL - SHAMPOO SIGVIOLET (Mixing), 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",""
